platform,gpu_name,variant,decoder,bp_method,decode_path,code,distance,rounds,physical_error_probability,shots,warmup,repeats,median_ms,min_ms,max_ms,syndromes_per_second,raw_logical_errors,decoded_logical_errors,raw_logical_error_rate,decoded_logical_error_rate,logical_error_reduction_vs_raw,speedup_vs_lut,logical_error_ratio_vs_lut
brev_l4,NVIDIA L4,LUT,single_error_lut,,decode_batch,surface_code,3,3,0.001,2000,2,5,3.3670789998723194,3.2242889992630808,4.037652999613783,593986.6573002418,34,21,0.017,0.0105,1.619047619047619,1.0,1.0
brev_l4,NVIDIA L4,BP=0,nv-qldpc-decoder,0,decode_batch,surface_code,3,3,0.001,2000,2,5,4.017096000097808,3.4326129989494802,4.696945001342101,497872.09465526935,34,21,0.017,0.0105,1.619047619047619,0.8381873372681005,1.0
brev_l4,NVIDIA L4,LUT,single_error_lut,,decode_batch,surface_code,5,5,0.001,2000,2,5,10.575303000223357,9.88711200079706,11.923475000003236,189119.87675036438,88,35,0.044,0.0175,2.5142857142857142,1.0,1.0
brev_l4,NVIDIA L4,BP=0,nv-qldpc-decoder,0,decode_batch,surface_code,5,5,0.001,2000,2,5,17.709257999740657,16.773213999840664,19.359252000867855,112935.27939054753,88,23,0.044,0.0115,3.8260869565217392,0.5971623994849602,0.657142857142857
brev_l4,NVIDIA L4,LUT,single_error_lut,,decode_batch,surface_code,7,7,0.001,2000,2,5,27.11860700037505,26.405205000628484,30.284075999588822,73750.10080614907,173,107,0.0865,0.0535,1.6168224299065421,1.0,1.0
brev_l4,NVIDIA L4,BP=0,nv-qldpc-decoder,0,decode_batch,surface_code,7,7,0.001,2000,2,5,49.695381998390076,48.83947499911301,54.76684600034787,40245.188175931355,173,28,0.0865,0.014,6.178571428571429,0.5456967208996116,0.26168224299065423
brev_l4,NVIDIA L4,LUT,single_error_lut,,decode_batch,surface_code,9,9,0.001,2000,2,5,56.49101699964376,55.782148001526366,56.73437499899592,35403.85898898956,250,219,0.125,0.1095,1.1415525114155252,1.0,1.0
brev_l4,NVIDIA L4,BP=0,nv-qldpc-decoder,0,decode_batch,surface_code,9,9,0.001,2000,2,5,115.11401800089516,112.01871299999766,116.0952329992142,17374.078628585856,250,50,0.125,0.025,5.0,0.4907396855802955,0.22831050228310504
brev_l4,NVIDIA L4,LUT,single_error_lut,,decode_batch,surface_code,11,11,0.001,2000,2,5,100.13089499989292,99.68950499933271,100.72708400002739,19973.855222228252,352,338,0.176,0.169,1.0414201183431953,1.0,1.0
brev_l4,NVIDIA L4,BP=0,nv-qldpc-decoder,0,decode_batch,surface_code,11,11,0.001,2000,2,5,242.13839900039602,241.48332799995842,243.46172300101898,8259.739092421805,352,43,0.176,0.0215,8.186046511627907,0.4135275338948993,0.1272189349112426
