code,decoder,bp_method,distance,rounds,physical_error_probability,shots,logical_errors_without_decoding,logical_errors_with_decoding,logical_error_rate_without_decoding,logical_error_rate_with_decoding
surface_code,single_error_lut,,3,3,0.001,1000,9,8,0.009,0.008
surface_code,single_error_lut,,3,3,0.003,1000,46,28,0.046,0.028
surface_code,single_error_lut,,3,3,0.005,1000,55,31,0.055,0.031
surface_code,single_error_lut,,3,3,0.01,1000,113,70,0.113,0.07
surface_code,single_error_lut,,3,3,0.03,1000,291,266,0.291,0.266
surface_code,single_error_lut,,3,3,0.05,1000,365,335,0.365,0.335
surface_code,single_error_lut,,3,3,0.1,1000,454,442,0.454,0.442
surface_code,single_error_lut,,5,3,0.001,1000,25,10,0.025,0.01
surface_code,single_error_lut,,5,3,0.003,1000,85,47,0.085,0.047
surface_code,single_error_lut,,5,3,0.005,1000,94,75,0.094,0.075
surface_code,single_error_lut,,5,3,0.01,1000,196,158,0.196,0.158
surface_code,single_error_lut,,5,3,0.03,1000,382,382,0.382,0.382
surface_code,single_error_lut,,5,3,0.05,1000,453,453,0.453,0.453
surface_code,single_error_lut,,5,3,0.1,1000,476,476,0.476,0.476
surface_code,single_error_lut,,7,3,0.001,1000,26,22,0.026,0.022
surface_code,single_error_lut,,7,3,0.003,1000,98,80,0.098,0.08
surface_code,single_error_lut,,7,3,0.005,1000,144,123,0.144,0.123
surface_code,single_error_lut,,7,3,0.01,1000,241,232,0.241,0.232
surface_code,single_error_lut,,7,3,0.03,1000,431,431,0.431,0.431
surface_code,single_error_lut,,7,3,0.05,1000,530,530,0.53,0.53
surface_code,single_error_lut,,7,3,0.1,1000,521,521,0.521,0.521
surface_code,single_error_lut,,9,3,0.001,1000,47,29,0.047,0.029
surface_code,single_error_lut,,9,3,0.003,1000,129,117,0.129,0.117
surface_code,single_error_lut,,9,3,0.005,1000,179,172,0.179,0.172
surface_code,single_error_lut,,9,3,0.01,1000,292,293,0.292,0.293
surface_code,single_error_lut,,9,3,0.03,1000,458,458,0.458,0.458
surface_code,single_error_lut,,9,3,0.05,1000,486,486,0.486,0.486
surface_code,single_error_lut,,9,3,0.1,1000,500,500,0.5,0.5
surface_code,single_error_lut,,11,3,0.001,1000,54,38,0.054,0.038
surface_code,single_error_lut,,11,3,0.003,1000,155,148,0.155,0.148
surface_code,single_error_lut,,11,3,0.005,1000,214,209,0.214,0.209
surface_code,single_error_lut,,11,3,0.01,1000,362,362,0.362,0.362
surface_code,single_error_lut,,11,3,0.03,1000,492,492,0.492,0.492
surface_code,single_error_lut,,11,3,0.05,1000,498,498,0.498,0.498
surface_code,single_error_lut,,11,3,0.1,1000,482,482,0.482,0.482
