code,decoder,bp_method,distance,rounds,physical_error_probability,shots,logical_errors_without_decoding,logical_errors_with_decoding,logical_error_rate_without_decoding,logical_error_rate_with_decoding
surface_code,nv-qldpc-decoder,0,3,3,0.001,1000,11,3,0.011,0.003
surface_code,nv-qldpc-decoder,0,3,3,0.003,1000,39,23,0.039,0.023
surface_code,nv-qldpc-decoder,0,3,3,0.005,1000,69,32,0.069,0.032
surface_code,nv-qldpc-decoder,0,3,3,0.01,1000,133,79,0.133,0.079
surface_code,nv-qldpc-decoder,0,3,3,0.03,1000,288,234,0.288,0.234
surface_code,nv-qldpc-decoder,0,3,3,0.05,1000,354,337,0.354,0.337
surface_code,nv-qldpc-decoder,0,3,3,0.1,1000,465,481,0.465,0.481
surface_code,nv-qldpc-decoder,0,5,3,0.001,1000,23,6,0.023,0.006
surface_code,nv-qldpc-decoder,0,5,3,0.003,1000,65,35,0.065,0.035
surface_code,nv-qldpc-decoder,0,5,3,0.005,1000,119,54,0.119,0.054
surface_code,nv-qldpc-decoder,0,5,3,0.01,1000,194,138,0.194,0.138
surface_code,nv-qldpc-decoder,0,5,3,0.03,1000,382,346,0.382,0.346
surface_code,nv-qldpc-decoder,0,5,3,0.05,1000,478,453,0.478,0.453
surface_code,nv-qldpc-decoder,0,5,3,0.1,1000,521,520,0.521,0.52
surface_code,nv-qldpc-decoder,0,7,3,0.001,1000,31,15,0.031,0.015
surface_code,nv-qldpc-decoder,0,7,3,0.003,1000,89,46,0.089,0.046
surface_code,nv-qldpc-decoder,0,7,3,0.005,1000,153,81,0.153,0.081
surface_code,nv-qldpc-decoder,0,7,3,0.01,1000,259,164,0.259,0.164
surface_code,nv-qldpc-decoder,0,7,3,0.03,1000,442,439,0.442,0.439
surface_code,nv-qldpc-decoder,0,7,3,0.05,1000,464,467,0.464,0.467
surface_code,nv-qldpc-decoder,0,7,3,0.1,1000,494,493,0.494,0.493
surface_code,nv-qldpc-decoder,0,9,3,0.001,1000,43,13,0.043,0.013
surface_code,nv-qldpc-decoder,0,9,3,0.003,1000,123,65,0.123,0.065
surface_code,nv-qldpc-decoder,0,9,3,0.005,1000,165,107,0.165,0.107
surface_code,nv-qldpc-decoder,0,9,3,0.01,1000,302,216,0.302,0.216
surface_code,nv-qldpc-decoder,0,9,3,0.03,1000,467,461,0.467,0.461
surface_code,nv-qldpc-decoder,0,9,3,0.05,1000,495,494,0.495,0.494
surface_code,nv-qldpc-decoder,0,9,3,0.1,1000,507,506,0.507,0.506
surface_code,nv-qldpc-decoder,0,11,3,0.001,1000,54,21,0.054,0.021
surface_code,nv-qldpc-decoder,0,11,3,0.003,1000,143,68,0.143,0.068
surface_code,nv-qldpc-decoder,0,11,3,0.005,1000,240,138,0.24,0.138
surface_code,nv-qldpc-decoder,0,11,3,0.01,1000,329,233,0.329,0.233
surface_code,nv-qldpc-decoder,0,11,3,0.03,1000,496,479,0.496,0.479
surface_code,nv-qldpc-decoder,0,11,3,0.05,1000,477,478,0.477,0.478
surface_code,nv-qldpc-decoder,0,11,3,0.1,1000,491,484,0.491,0.484
