W0629 17:35:44.535000 39575 torch/distributed/run.py:851] 
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] *****************************************
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] *****************************************
============================================================
EXPERIMENT 1: Convergence study — 1024x1024
============================================================

Grid: 1024x1024 | Steps: 500 | Slab: 1024x256
------------------------------------------------------------
Step   10/500 | Max Temp: 288.0 K | Convergence: 7.08e-01 | Comm: 95.41ms | Overhead: 74.7%
Step   20/500 | Max Temp: 288.0 K | Convergence: 3.81e-01 | Comm: 47.89ms | Overhead: 74.5%
Step   30/500 | Max Temp: 288.0 K | Convergence: 2.47e-01 | Comm: 32.05ms | Overhead: 74.3%
Step   40/500 | Max Temp: 288.0 K | Convergence: 1.91e-01 | Comm: 24.13ms | Overhead: 74.1%
Step   50/500 | Max Temp: 288.0 K | Convergence: 1.52e-01 | Comm: 19.38ms | Overhead: 73.9%
Step   60/500 | Max Temp: 288.0 K | Convergence: 1.26e-01 | Comm: 16.21ms | Overhead: 73.7%
Step   70/500 | Max Temp: 288.0 K | Convergence: 1.09e-01 | Comm: 13.95ms | Overhead: 73.6%
Step   80/500 | Max Temp: 288.0 K | Convergence: 9.56e-02 | Comm: 12.25ms | Overhead: 73.4%
Step   90/500 | Max Temp: 288.0 K | Convergence: 8.45e-02 | Comm: 10.93ms | Overhead: 73.2%
Step  100/500 | Max Temp: 287.9 K | Convergence: 7.59e-02 | Comm: 9.87ms | Overhead: 73.0%
Step  110/500 | Max Temp: 287.9 K | Convergence: 6.95e-02 | Comm: 9.01ms | Overhead: 72.8%
Step  120/500 | Max Temp: 287.9 K | Convergence: 6.38e-02 | Comm: 8.29ms | Overhead: 72.7%
Step  130/500 | Max Temp: 287.9 K | Convergence: 5.88e-02 | Comm: 7.68ms | Overhead: 72.5%
Step  140/500 | Max Temp: 287.9 K | Convergence: 5.44e-02 | Comm: 7.16ms | Overhead: 72.3%
Step  150/500 | Max Temp: 287.9 K | Convergence: 5.08e-02 | Comm: 6.70ms | Overhead: 72.1%
Step  160/500 | Max Temp: 287.9 K | Convergence: 4.78e-02 | Comm: 6.31ms | Overhead: 71.9%
Step  170/500 | Max Temp: 287.9 K | Convergence: 4.51e-02 | Comm: 5.96ms | Overhead: 71.7%
Step  180/500 | Max Temp: 287.9 K | Convergence: 4.26e-02 | Comm: 5.65ms | Overhead: 71.6%
Step  190/500 | Max Temp: 287.9 K | Convergence: 4.03e-02 | Comm: 5.37ms | Overhead: 71.4%
